stat_name,blue_win,body_att,body_landed,clinch_att,clinch_landed,distance_att,distance_landed,ground_att,ground_landed,head_att,head_landed,leg_att,leg_landed,pass,rev,sig_str_att,sig_str_landed,sig_str_pct,sub_att,td_att,td_landed,td_pct,total_str_att,total_str_landed
min,0.000000e+00,2.857141e-07,3.124998e-07,3.448273e-07,3.448273e-07,1.999992e-06,5.714311e-02,1.333333e-07,7.352940e-08,3.846151e-07,3.571426e-07,2.439023e-07,1.562500e-07,4.999995e-07,2.499988e-06,3.846151e-07,5.263174e-02,1.785651e-05,9.999980e-07,6.249992e-07,4.999995e-07,9.999800e-06,3.404259e-02,5.947959e-02
mean,0.3508674,0.4704026,0.4787003,0.4835143,0.4935401,0.4862544,0.5033659,0.4371826,0.4401341,0.4603762,0.4832389,0.4845663,0.4890973,0.4461688,0.4996243,0.4628879,0.4816649,0.4784191,0.4948722,0.4533751,0.4726954,0.4592867,0.4631912,0.4765526
max,1.0000000,0.9999993,0.9999997,0.9999995,0.9999996,0.9999994,0.9999990,0.9999999,0.9999999,0.9999992,0.9066666,0.9999997,0.9999998,0.9999992,0.9999967,0.9682538,0.9108910,0.9636195,0.9999986,0.9999992,0.9999997,0.9999900,0.9887005,0.9237288
qt_25,0.000000e+00,2.916668e-01,3.181820e-01,2.857147e-01,3.333337e-01,3.838338e-01,4.289323e-01,7.230006e-02,7.894759e-02,3.333334e-01,4.005077e-01,2.390478e-01,2.500012e-01,9.999800e-06,5.000000e-01,3.546346e-01,4.062500e-01,4.153421e-01,5.000000e-01,9.999800e-06,1.111120e-01,3.030119e-05,3.435922e-01,3.914438e-01
qt_50,0.0000000,0.4722222,0.4761905,0.5000000,0.5000000,0.4832215,0.5000000,0.5000000,0.4761905,0.4561404,0.4860000,0.5000000,0.5000000,0.5000000,0.5000000,0.4615385,0.4809689,0.4788738,0.5000000,0.5000000,0.5000000,0.5000000,0.4639175,0.4793103
qt_75,1.0000000,0.6394443,0.6315788,0.6666663,0.6666656,0.5862069,0.5796372,0.7333331,0.7543102,0.5909090,0.5703911,0.7272723,0.7241378,0.7142851,0.5000000,0.5702729,0.5636471,0.5422699,0.5000000,0.8571418,0.8333322,0.8771864,0.5783313,0.5624050
qt_99,1.0000000,0.9999984,0.9999984,0.9999983,0.9999980,0.8904440,0.7727272,0.9999996,0.9999997,0.9175639,0.7814402,0.9999992,0.9999993,0.9999988,0.9999950,0.8566503,0.7645350,0.7426638,0.9999967,0.9999986,0.9999994,0.9999900,0.8646190,0.8051276
